0.5, 'Elastic Bandage', 'USA', 'Beige', 'Bandaging Supplies',
0.4, 'Vinyl Gloves', 'Germany', 'White', 'Personal Protective Equipment (PPE)',
0.5, 'Chemical Resistant Gloves', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.6, 'Utility Gloves', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.7, 'Heat Resistant Gloves', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.4, 'Cut Resistant Gloves', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.5, 'Sterile Gloves', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.6, 'Medical Apron', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.7, 'Lead Apron', 'USA', 'Gray', 'Personal Protective Equipment (PPE)',
0.4, 'Medical Face Mask', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.5, 'Surgical Mask', 'Germany', 'White', 'Personal Protective Equipment (PPE)',
0.6, 'N95 Mask', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.7, 'Respirator Mask', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.4, 'Full Face Respirator', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.5, 'Half Face Respirator', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.6, 'Disposable Respirator', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.7, 'Reusable Respirator', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.4, 'Personal Safety Kit', 'USA', 'Gray', 'Personal Protective Equipment (PPE)',
0.5, 'Eye Protection', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.6, 'Hearing Protection', 'Germany', 'White', 'Personal Protective Equipment (PPE)',
0.7, 'Protective Eyewear', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.4, 'Safety Glasses', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.5, 'Safety Goggles', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.6, 'Medical Face Shield', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.7, 'Full Face Shield', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.4, 'Head Protection', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.5, 'Face Protection', 'USA', 'Gray', 'Personal Protective Equipment (PPE)',
0.6, 'Body Protection', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.2, 'CT Scanner', 'Germany', 'White', 'Diagnostic Instruments',
0.5, 'Elastic Bandage', 'USA', 'Beige', 'Bandaging Supplies'
0.2, 'Gauze Roll', 'China', 'White', 'Bandaging Supplies'
0.3, 'Adhesive Tape', 'Germany', 'Clear', 'Bandaging Supplies'
0.4, 'Butterfly Closures', 'Japan', 'White', 'Bandaging Supplies'
0.1, 'Triangular Bandage', 'India', 'Beige', 'Bandaging Supplies'
0.6, 'Sterile Gauze Pads', 'USA', 'White', 'Bandaging Supplies'
0.3, 'Hydrocolloid Dressing', 'France', 'Clear', 'Wound Care Products'
0.5, 'Antiseptic Wipes', 'Italy', 'White', 'Wound Care Products'
0.4, 'Silver Nitrate Sticks', 'Spain', 'Gray', 'Wound Care Products'
0.2, 'Hydrogel Dressing', 'Canada', 'Clear', 'Wound Care Products'
0.7, 'Alcohol Swabs', 'Mexico', 'White', 'Wound Care Products'
0.4, 'Burn Relief Gel', 'USA', 'Clear', 'Wound Care Products'
0.5, 'Sterile Cotton Balls', 'China', 'White', 'Wound Care Products'
0.3, 'Diagnostic Penlight', 'Germany', 'Silver', 'Diagnostic Instruments'
0.4, 'Stethoscope', 'Japan', 'Black', 'Diagnostic Instruments'
0.2, 'Blood Pressure Cuff', 'India', 'Blue', 'Diagnostic Instruments'
0.6, 'Thermometer', 'USA', 'White', 'Diagnostic Instruments'
0.4, 'Pulse Oximeter', 'France', 'Red', 'Diagnostic Instruments'
0.7, 'CPR Mask', 'Italy', 'Clear', 'Emergency Resuscitation Equipment'
0.5, 'Bag Valve Mask', 'Spain', 'Green', 'Emergency Resuscitation Equipment'
0.3, 'Defibrillator Pads', 'Canada', 'White', 'Emergency Resuscitation Equipment'
0.4, 'Rescue Breathing Barrier', 'Mexico', 'Clear', 'Emergency Resuscitation Equipment'
0.5, 'N95 Respirator', 'USA', 'White', 'Personal Protective Equipment (PPE)'
0.2, 'Surgical Gown', 'China', 'Blue', 'Personal Protective Equipment (PPE)'
0.3, 'Face Shield', 'Germany', 'Clear', 'Personal Protective Equipment (PPE)'
0.4, 'Disposable Gloves', 'Japan', 'Purple', 'Personal Protective Equipment (PPE)'
0.5, 'Safety Goggles', 'India', 'Black', 'Personal Protective Equipment (PPE)'
0.6, 'Sterile Scalpels', 'USA', 'Silver', 'Surgical Instruments'
0.3, 'Surgical Scissors', 'France', 'Silver', 'Surgical Instruments'
0.4, 'Hemostats', 'Italy', 'Silver', 'Surgical Instruments'
0.5, 'Retractors', 'Spain', 'Silver', 'Surgical Instruments'
0.7, 'Suture Kit', 'Canada', 'Black', 'Surgical Instruments'
0.4, 'ECG Machine', 'Mexico', 'White', 'Patient Monitoring Devices'
0.5, 'Fetal Doppler', 'USA', 'Pink', 'Patient Monitoring Devices'
0.3, 'Heart Rate Monitor', 'China', 'Black', 'Patient Monitoring Devices'
0.4, 'Blood Glucose Meter', 'Germany', 'Blue', 'Patient Monitoring Devices'
0.6, 'IV Drip Set', 'Japan', 'Clear', 'Fluid Administration Equipment'
0.2, 'Infusion Pump', 'India', 'White', 'Fluid Administration Equipment'
0.3, 'Syringe Pump', 'USA', 'Blue', 'Fluid Administration Equipment'
0.4, 'Fluid Warmer', 'France', 'White', 'Fluid Administration Equipment'
0.5, 'Ambulance Stretcher', 'Italy', 'Yellow', 'Emergency Transportation Aids'
0.7, 'Spine Board', 'Spain', 'Red', 'Emergency Transportation Aids'
0.4, 'Wheelchair', 'Canada', 'Black', 'Rehabilitation and Mobility Aids'
0.5, 'Crutches', 'Mexico', 'Gray', 'Rehabilitation and Mobility Aids'
0.3, 'Walkers', 'USA', 'Silver', 'Rehabilitation and Mobility Aids'
0.4, 'Shower Chair', 'China', 'White', 'Hygiene and Sanitation Supplies'
0.2, 'Bedpan', 'Germany', 'Blue', 'Hygiene and Sanitation Supplies'
0.3, 'Urinal', 'Japan', 'White', 'Hygiene and Sanitation Supplies'
0.5, 'Toilet Safety Frame', 'India', 'Gray', 'Hygiene and Sanitation Supplies'
0.6, 'Sterilization Pouch', 'USA', 'Clear', 'Hygiene and Sanitation Supplies'
0.4, 'Sharps Container', 'France', 'Red', 'Medical Waste Disposal Supplies'
0.5, 'Medical Waste Bag', 'Italy', 'Yellow', 'Medical Waste Disposal Supplies'
0.3, 'Home Health Monitor', 'Spain', 'Black', 'Home Healthcare Equipment'
0.4, 'Electric Bed', 'Canada', 'White', 'Home Healthcare Equipment'
0.6, 'Medical Alert System', 'Mexico', 'Gray', 'Home Healthcare Equipment'
0.4, 'Pulse Lavage', 'USA', 'Blue', 'Occupational Health Tools'
0.5, 'Nebulizer', 'China', 'White', 'Respiratory Equipment'
0.3, 'Oxygen Concentrator', 'Germany', 'Gray', 'Respiratory Equipment'
0.4, 'CPAP Machine', 'Japan', 'White', 'Respiratory Equipment'
0.2, 'Inhaler Spacer', 'India', 'Blue', 'Respiratory Equipment'
0.3, 'Forehead Thermometer', 'USA', 'Silver', 'Diagnostic Instruments'
0.4, 'Medical Exam Gloves', 'France', 'Purple', 'Personal Protective Equipment (PPE)'
0.6, 'Surgical Mask', 'Italy', 'Blue', 'Personal Protective Equipment (PPE)'
0.4, 'Disinfectant Spray', 'Spain', 'Clear', 'Infection Control Supplies'
0.5, 'Hand Sanitizer', 'Canada', 'Clear', 'Infection Control Supplies'
0.3, 'Antimicrobial Wipes', 'Mexico', 'White', 'Infection Control Supplies'
0.4, 'Sterile Field', 'USA', 'Blue', 'Infection Control Supplies'
0.2, 'Barrier Cream', 'China', 'White', 'Skin Care Products'
0.3, 'Medical Tape', 'Germany', 'White', 'Bandaging Supplies'
0.4, 'Trauma Shears', 'Japan', 'Black', 'Bandaging Supplies'
0.6, 'Tweezers', 'India', 'Silver', 'Wound Care Products'
0.4, 'Saline Solution', 'USA', 'Clear', 'Wound Care Products'
0.5, 'Wound Irrigation Kit', 'France', 'Clear', 'Wound Care Products'
0.3, 'First Aid Ointment', 'Italy', 'White', 'Wound Care Products'
0.4, 'Medical Stapler', 'Spain', 'Silver', 'Wound Care Products'
0.5, 'Sterile Water', 'Canada', 'Clear', 'Wound Care Products'
0.7, 'Wound Closure Strips', 'Mexico', 'White', 'Wound Care Products'
0.4, 'Glucometer', 'USA', 'Black', 'Diagnostic Instruments'
0.3, 'Reflex Hammer', 'China', 'Silver', 'Diagnostic Instruments'
0.4, 'Snellen Eye Chart', 'Germany', 'White', 'Diagnostic Instruments'
0.5, 'Otoscope', 'Japan', 'Black', 'Diagnostic Instruments'
0.6, 'Ophthalmoscope', 'India', 'Silver', 'Diagnostic Instruments'
0.3, 'Ultrasound Gel', 'USA', 'Clear', 'Diagnostic Instruments'
0.4, 'Rescue Blanket', 'France', 'Gold', 'Emergency Resuscitation Equipment'
0.2, 'AED Defibrillator', 'Italy', 'Red', 'Emergency Resuscitation Equipment'
0.3, 'Laryngoscope', 'Spain', 'Silver', 'Emergency Resuscitation Equipment'
0.4, 'Nasal Cannula', 'Canada', 'Clear', 'Emergency Resuscitation Equipment'
0.5, 'Non-Rebreather Mask', 'Mexico', 'Clear', 'Emergency Resuscitation Equipment'
0.4, 'Pocket Mask', 'USA', 'Clear', 'Emergency Resuscitation Equipment'
0.3, 'Compression Garments', 'China', 'Beige', 'Orthopedic Aids'
0.4, 'Ankle Brace', 'Germany', 'Black', 'Orthopedic Aids'
0.2, 'Knee Support', 'Japan', 'Gray', 'Orthopedic Aids'
0.5, 'Back Brace', 'India', 'Black', 'Orthopedic Aids'
0.6, 'Wrist Splint', 'USA', 'Gray', 'Orthopedic Aids'
0.4, 'Splint', 'Mexico', 'White', 'Orthopedic Aids',
0.5, 'Finger Splint', 'USA', 'Blue', 'Orthopedic Aids',
0.6, 'Hand Splint', 'China', 'Gray', 'Orthopedic Aids',
0.7, 'Arm Sling', 'Germany', 'Black', 'Orthopedic Aids',
0.4, 'Leg Splint', 'Japan', 'White', 'Orthopedic Aids',
0.5, 'Body Splint', 'India', 'Blue', 'Orthopedic Aids',
0.3, 'Back Splint', 'France', 'Gray', 'Orthopedic Aids',
0.4, 'Medical Cast', 'Spain', 'White', 'Orthopedic Aids',
0.5, 'Waterproof Cast', 'Canada', 'Clear', 'Orthopedic Aids',
0.6, 'Cast Padding', 'Mexico', 'White', 'Orthopedic Aids',
0.7, 'Splint Padding', 'USA', 'Gray', 'Orthopedic Aids',
0.4, 'Cast Removal Tool', 'China', 'Silver', 'Orthopedic Aids',
0.5, 'Orthopedic Boot', 'Germany', 'Black', 'Orthopedic Aids',
0.3, 'Post-Op Shoe', 'Japan', 'Blue', 'Orthopedic Aids',
0.4, 'Walker Boot', 'India', 'Gray', 'Orthopedic Aids',
0.5, 'Ankle Stabilizer', 'France', 'White', 'Orthopedic Aids',
0.6, 'Knee Immobilizer', 'Spain', 'Black', 'Orthopedic Aids',
0.7, 'Hip Support', 'Canada', 'Gray', 'Orthopedic Aids',
0.4, 'Medical Belt', 'Mexico', 'Blue', 'Orthopedic Aids',
0.5, 'Shoulder Immobilizer', 'USA', 'Gray', 'Orthopedic Aids',
0.3, 'Clavicle Brace', 'China', 'White', 'Orthopedic Aids',
0.4, 'Forearm Splint', 'Germany', 'Black', 'Orthopedic Aids',
0.5, 'Wrist Support', 'Japan', 'Gray', 'Orthopedic Aids',
0.6, 'Thumb Splint', 'India', 'Black', 'Orthopedic Aids',
0.7, 'Hand Support', 'France', 'Blue', 'Orthopedic Aids',
0.4, 'Finger Sleeve', 'Spain', 'Gray', 'Orthopedic Aids',
0.5, 'Toe Splint', 'Canada', 'Black', 'Orthopedic Aids',
0.6, 'Toe Separator', 'Mexico', 'Blue', 'Orthopedic Aids',
0.7, 'Foot Splint', 'USA', 'Gray', 'Orthopedic Aids',
0.4, 'Heel Protector', 'China', 'White', 'Orthopedic Aids',
0.5, 'Foot Elevator', 'Germany', 'Black', 'Orthopedic Aids'
0.3, 'Evacuation Sled', 'USA', 'Blue', 'Emergency Transportation Aids',
0.4, 'Transport Ventilator', 'China', 'White', 'Emergency Resuscitation Equipment',
0.5, 'Transport Stretcher', 'Germany', 'Silver', 'Emergency Transportation Aids',
0.6, 'Patient Immobilizer', 'Japan', 'Gray', 'Emergency Transportation Aids',
0.7, 'Head Immobilizer', 'India', 'Yellow', 'Emergency Transportation Aids',
0.4, 'Transfer Board', 'France', 'Red', 'Emergency Transportation Aids',
0.5, 'Emergency Medical Bag', 'Spain', 'Blue', 'Emergency Transportation Aids',
0.3, 'Medical Organizer', 'Canada', 'Black', 'Emergency Transportation Aids',
0.4, 'Foot Protection', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.5, 'Disposable Booties', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.6, 'Waterproof Shoe Covers', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.7, 'Non-Skid Shoe Covers', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.4, 'Sterile Gown', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.5, 'Sterile Drape', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.6, 'Surgical Drape', 'USA', 'Gray', 'Personal Protective Equipment (PPE)',
0.7, 'Medical Curtain', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.4, 'Protective Curtain', 'Germany', 'White', 'Personal Protective Equipment (PPE)',
0.5, 'Examination Curtain', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.6, 'Privacy Screen', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.7, 'Medical Partition', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.4, 'Surgical Screen', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.5, 'Room Divider', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.6, 'Surgical Table', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.7, 'Operating Table', 'USA', 'Gray', 'Personal Protective Equipment (PPE)',
0.4, 'Examination Table', 'China', 'Blue', 'Personal Protective Equipment (PPE)',
0.7, 'Bone Caliper', 'Japan', 'Gray', 'Personal Protective Equipment (PPE)',
0.4, 'Pelvimeter', 'India', 'Blue', 'Personal Protective Equipment (PPE)',
0.5, 'Craniometer', 'France', 'White', 'Personal Protective Equipment (PPE)',
0.6, 'Spine Caliper', 'Spain', 'Gray', 'Personal Protective Equipment (PPE)',
0.7, 'Oximeter', 'Canada', 'Blue', 'Personal Protective Equipment (PPE)',
0.4, 'Pulse Oximeter', 'Mexico', 'White', 'Personal Protective Equipment (PPE)',
0.5, 'Finger Pulse Oximeter', 'USA', 'Gray', 'Personal Protective Equipment (PPE)';


